# directory.dat
#
# Anthony Grasso, Canon
# Sep., 2009
#
# This file describes the directory tree structure for the SVG 1.1 2nd Edition test suite
# this is a tab delimited file
# feilds are:
# section name, chapter or .section number, title
#
# Field 1, section name
# section names are 'chapter' and 'chapter-section'
# at the time of creation, chapter names were the same as the html names in the 1.0 spec.
# section names in the spec are too verbose to fit into the test file naming convention so they
# do not mirror the links in the spec.
# 
# Field 2, chapter or .section number
# chapters are numbered as integers, sections are preceded by a decimal to 
# differentiate them.
# The reason I did this was to avoid having a huge renumbering task in the event that
# there was a chapter added or deleted.
#
# Field 3, Title
# This is the title of the section as it appears in the spec.
#
intro	1	Introduction
intro-about	.1	About SVG	#AboutSVG
intro-mime	.2	SVG MIME type, file name extension and Macintosh file type	#MIMEType
intro-id	.3	SVG Namespace, Public Identifier and System Identifier	#Namespace
intro-compat	.4	Compatibility with Other Standards Efforts	#W3CCompatibility
intro-terms	.5	Terminology	#Terminology
intro-defs	.6	Definitions	#Definitions
concepts	2	Concepts
concepts-name	.1	Explaining the name: SVG	#Intro
concepts-important	.2	Important SVG concepts	#Concepts
concepts-options	.3	Options for using SVG in Web pages	#UsageOptions
render	3	Rendering Model
render-intro	.1	Introduction	#Introduction
render-model	.2	The painters model	#PaintersModel
render-order	.3	Rendering Order	#RenderingOrder
render-groups	.4	How groups are rendered	#Grouping
render-elems	.5	How elements are rendered	#Elements
render-types	.6	Types of graphics elements	#TypesOfGraphicsElements
render-regions	.7	Filtering painted regions	#FilteringPaintRegions
render-clip	.8	Clipping, masking and object opacity	#ClippingMaskingObjectOpacity
render-composit	.9	Parent Compositing	#ParentCompositing
types	4	Basic Data Types and Interfaces
types-basic	.1	Basic data types	#BasicDataTypes
types-keyword	.2	Recognized color keyword names	#ColorKeywords
types-dom	.3	Basic DOM interfaces	#BasicDOMInterfaces
struct	5	Document Structure
struct-frag	.1	Defining an SVG document fragment: the 'svg' element	#NewDocument
struct-group	.2	Grouping: the 'g' element	#Groups
struct-defs	.3	References and the 'defs' element	#Head
struct-desc	.4	The 'desc' and 'title' elements	#DescriptionAndTitleElements
struct-symbol	.5	The 'symbol' element	#SymbolElement
struct-use	.6	The 'use' element	#UseElement
struct-image	.7	The 'image' element	#ImageElement
struct-cond	.8	Conditional processing	#ConditionalProcessing
struct-res	.9	Specifying whether external resources are required for proper rendering	#ExternalResourcesRequired
struct-attr	.10	Common attributes	#CommonAttributes
struct-dom	.11	DOM interfaces	#DOMInterfaces
styling	6	Styling
styling-prop	.1	SVG's styling properties	#SVGStylingProperties
styling-usage	.2	Usage scenarios for styling	#StylingScenarios
styling-alts	.3	Alternative ways to specify styling properties	#AlternativesForStyling
styling-pres	.4	Specifying properties using the presentation attributes	#UsingPresentationAttributes
styling-xsl	.5	Styling with XSL	#StylingWithXSL
styling-css	.6	Styling with CSS	#StylingWithCSS
styling-case	.7	Case sensitivity of property names and values	#CaseSensitivity
styling-facil	.8	Facilities from CSS and XSL used by SVG	#SVGUseOfCSS
styling-extern	.9	Referencing external style sheets	#ReferencingExternalStyleSheets
styling-elem	.10	The 'style' element	#StyleElement
styling-class	.11	The class attribute	#ClassAttribute
styling-style	.12	The style attribute	#StyleAttribute
styling-default	.13	Specifying the default style sheet language	#DefaultStyleSheetLanguage
